
NOTICE | wrapper  | 2016/03/30 23:08:20 | You are running with a full featured trial License Key which will
NOTICE | wrapper  | 2016/03/30 23:08:20 | allow you to run or restart the Java Service Wrapper as many times
NOTICE | wrapper  | 2016/03/30 23:08:20 | as you like.  Each invocation of the Wrapper will shutdown
NOTICE | wrapper  | 2016/03/30 23:08:20 | automatically after 15 minutes.
NOTICE | wrapper  | 2016/03/30 23:08:20 | 
NOTICE | wrapper  | 2016/03/30 23:08:20 | This limited trial License Key is useful for quick configuration
NOTICE | wrapper  | 2016/03/30 23:08:20 | tests on various machines without the need to request a trial
NOTICE | wrapper  | 2016/03/30 23:08:20 | license.  If more time is required, you can also immediately obtain
NOTICE | wrapper  | 2016/03/30 23:08:20 | a one-month Free trial license:
NOTICE | wrapper  | 2016/03/30 23:08:20 |   http://wrapper.tanukisoftware.com/trial
NOTICE | wrapper  | 2016/03/30 23:08:20 | 
NOTICE | wrapper  | 2016/03/30 23:08:20 | The Java Service Wrapper requires a License Key to activate the
NOTICE | wrapper  | 2016/03/30 23:08:20 | software.  License Keys can be purchased on the Java Service Wrapper
NOTICE | wrapper  | 2016/03/30 23:08:20 | web site:
NOTICE | wrapper  | 2016/03/30 23:08:20 |   http://wrapper.tanukisoftware.com/purchase
NOTICE | wrapper  | 2016/03/30 23:08:20 | 
NOTICE | wrapper  | 2016/03/30 23:08:20 | This trial License Key in intended for testing and development and
NOTICE | wrapper  | 2016/03/30 23:08:20 | should not be used as part of a production environment.
NOTICE | wrapper  | 2016/03/30 23:08:20 | --------------------------------------------------------------------
NOTICE | wrapper  | 2016/03/30 23:08:20 | 
STATUS | wrapper  | 2016/03/30 23:08:20 | 
STATUS | wrapper  | 2016/03/30 23:08:20 | Launching a JVM...
INFO   | jvm 1    | 2016/03/30 23:08:20 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/03/30 23:08:20 | мар 30, 2016 11:08:20 PM com.devcolibri.logpack.OrderLogic doOrder
INFO   | jvm 1    | 2016/03/30 23:08:20 | CONFIG: Configuration done.
INFO   | jvm 1    | 2016/03/30 23:08:20 | Заказ оформлен!
INFO   | jvm 1    | 2016/03/30 23:08:20 | Товар добавлен в корзину
STATUS | wrapper  | 2016/03/30 23:08:23 | <-- Wrapper Stopped
STATUS | wrapperm | 2016/03/30 23:09:01 | Test Wrapper Sample Application service installed.
STATUS | wrapper  | 2016/03/30 23:10:05 | --> Wrapper Started as Service
